uniqueID,Booking_Date,predicted
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2025-01-31,1571.5063960224616
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2025-02-28,1638.40248732359
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-03-31,261.6864390977324
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-04-30,192.2192068177999
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-05-31,176.99258951967894
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-06-30,199.8283063241161
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-07-31,142.73270059890683
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-08-31,127.50608330078589
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-09-30,137.97017355049982
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-10-31,93.24619438001383
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-11-30,78.01957708189289
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-12-31,76.11204077688356
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2025-01-31,43.7596881611208
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2025-02-28,28.533070862999864
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-03-31,89.19389305696117
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-04-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-08-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-09-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-10-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-11-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2025-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2025-02-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-03-31,2765.805812195728
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-04-30,2364.071049680361
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-05-31,2498.6722940570526
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-06-30,3312.6233674760388
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-07-31,2801.525093904609
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-08-31,2936.1263382813013
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-09-30,3859.4409227563497
