uniqueID,Booking_Date,Gross_Amount
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2023-11-30,151.599
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2023-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-01-31,1001.049
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread,2024-02-29,1911.9029999999998
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-01-31,294.84
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-02-28,294.84
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-03-31,294.84
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-04-30,589.68
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-05-31,589.68
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-06-30,442.26
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-07-31,442.26
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-08-31,589.68
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-09-30,352.59
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-10-31,470.29499999999996
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-11-30,265.65
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2023-12-31,124.95
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-01-31,124.95
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread buger,2024-02-29,119.7
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-01-31,754.3200000000002
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-02-28,1771.266
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-03-31,1133.6219999999998
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-04-30,901.7400000000001
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-05-31,978.3900000000001
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-06-30,1034.88
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-07-31,754.446
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-08-31,337.47
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-09-30,1010.73
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-10-31,717.738
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-11-30,798.336
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2023-12-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-01-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread loaf,2024-02-29,187.32
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-01-31,1327.536
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-02-28,1185.975
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-03-31,47.628
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-04-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-05-31,672.7875
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-06-30,564.2280000000001
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-07-31,812.7
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-08-31,386.19
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-09-30,1970.955
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-10-31,1001.90475
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-11-30,1806.189
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2023-12-31,1325.31
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-01-31,2642.85
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread roll,2024-02-29,3012.345
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-01-31,93.66
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-02-28,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-03-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-04-30,58.968
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-05-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-06-30,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-07-31,0.0
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-08-31,272.15999999999997
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-09-30,181.44
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-10-31,181.44
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-11-30,181.44
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2023-12-31,264.6
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-01-31,181.44
ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread sourdough,2024-02-29,181.44
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-01-31,61.236
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-02-28,183.708
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-03-31,122.472
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-04-30,122.472
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-05-31,122.472
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-06-30,61.236
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-07-31,122.472
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-08-31,122.472
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-09-30,61.236
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-10-31,135.45
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-11-30,555.765
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2023-12-31,115.5
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-01-31,447.3
"ADAGIO__F&B Kitchen__LS - Bakery Products Frozen__bread, baguette",2024-02-29,173.25
